VISA	TITRE	RÉALISATEUR	GENRE	DEVIS
153759	Royaume (Le)	COLONNA Julien	Fiction	3,991,081
159584	Fantômes (Les)	MILLET Jonathan	Fiction	3,954,013
149997	Omar dans son château	MARHYAR Ali	Fiction	3,940,455
157499	Zion	FOIX Nelson	Fiction	3,848,994
158233	Niki	SALLETTE Céline	Fiction	3,744,547
160206	Vive les mariés	BLAYAU Elsa	Fiction	3,440,957
160021	Brûle le sang	POPKHADZE Akaki	Fiction	3,401,997
157202	Maman veut pu'	LUCILLY Grégory	Fiction	3,379,406
154431	Lads	MENANTEAU Julien	Fiction	3,315,763
151389	Bis repetita	NOBLET Emilie	Fiction	3,292,307
158190	Mona	BAILLY Anne-Sophie	Fiction	3,267,703
156815	Robot T-O	CALLEGARI Giulio	Fiction	3,232,499
149455	Esprit Coubertin (L') (ex : Village global)	SEIN Jérémie	Fiction	3,126,518
157510	Moi vivant, vous ne serez jamais morts	DEBRAUX Baptiste	Fiction	3,022,916
157345	Pampa (La)	CHEVROLLIER Antoine	Fiction	2,981,933
150657	Diamant brut	RIEDINGER Agathe	Fiction	2,972,882
153077	Cassandre	MERLIN Hélène	Fiction	2,948,424
152606	Noël des animaux (Le)	ALMÉRAS Camille / ATTIA Caroline / BEYOGLU Ceylan / KISHI Haruna / SHCHUKINA Olesya / CHERNYSHEVA Natalia	Animation	2,866,843
157346	Totone	COURVOISIER Louise	Fiction	2,808,185
158736	Neuilly-Poissy	BOUTBOUL Gregory	Fiction	2,778,575
160965	Silex and the city, le film	BERJEAUT Julien / GUIGUE Jean-Paul	Animation	2,766,701
159766	Barbès d'or	GUERRAR Hassan	Fiction	2,732,535
156173	Arènes (Les)	PERTON Camille	Fiction	2,729,107
154580	Hiver à Sokcho	KAMURA Koya	Fiction	2,622,941
155484	Dans la cuisine des Nguyen	LY-CUONG Stephane	Fiction	2,607,711
149381	Truites (Les)	PROST Lucie	Fiction	2,448,212
155930	Tempêtes (Les)	REYMOND BOUGHENOU Dania	Fiction	2,440,206
157263	Of unwanted things and people	PASS Patrik Junior / ROZEC Jean-Claude / SUKUP David / VIDMAR Leon	Animation	2,375,364
156904	Reines du drame (Les)	LANGLOIS Alexis	Fiction	2,252,167
159551	Ollie	BESSE Antoine	Fiction	2,190,734
151237	Jane Austen a gâché ma vie	PIANI Laura	Fiction	2,115,181
150331	France terre d'asile	NAVARRO Julie	Fiction	2,092,591
144706	Zénithal	SAUREL Jean-Baptiste	Fiction	2,019,178
155838	Pompei	SAJEM Nathalie	Fiction	2,006,440
147537	Else	EMIN Thibault	Fiction	1,975,842
156774	Vourdalak (Le)	BEAU Adrien	Fiction	1,797,405
160253	Au cœur des ténèbres	NUNES Rogerio	Animation	1,450,000
157071	Terminal	MOLARD Arthur	Fiction	1,118,390
157070	Dernier Signal	BUSNEL Benjamin	Fiction	1,117,697
149790	Un monde violent	CAPERAN Maxime	Fiction	1,082,907
