VISA	TITRE	RÉALISATEUR	GENRE	DEVIS
151330	T'as pécho ?	PICAULT Adeline	fiction	3,812,538									
146200	The birds of America	LOEUILLE Jacques	docu	451,694									
148414	Tout le monde s'appelle Mike	BONNIER Guillaume	fiction	1,091,099									
150335	Tout simplement noir	ZADI Jean-Pascal / WAX John	fiction	3,368,544									
150792	Traducteur (Le)	KAZKAZ Rana / KHALAF Anas	fiction	1,893,295									
150449	Valeur de la terre (La)	COUANON Geoffrey	docu	188,018									
149333	Van Gogh in love	AYACH Jean-Luc	fiction	839,519									
133734	Voir le jour (ex : Les Grands Moyens)	WOODWARD Stanley	fiction	2,234,056									
147075	Voisins de mes voisins sont mes voisins (Les)	DAFFIS Anne-Laure / MARCHAND Léo	animation	1,483,532									
141090	Youkis (Les)	BENAMOZIG Hugo / CAVIGLIOLI David	fiction	3,214,611									
144716	Zépon	ELIE-DIT-COSAQUE Gilles	fiction	678,038									
﻿
147051	A nos pères	DONG Fangchen	fiction	916,490									
148180	Amour flou (L')	BOHRINGER Romane / REBBOT Philippe	fiction	521,334									
141502	Andy	WEILL Julien	fiction	2,375,429									
145077	Au nom de la terre	BERGEON Edouard	fiction	5,370,351									
142187	Au temps du cannibalisme	EDKINS Teboho	docu	387,733									
148908	Belle fille	MARCAGGI Méliane	fiction	4,943,986									
148260	Bourachka	TAYAA Walid	fiction	530,699									
149031	Breathe	HASKELL Stéphane	docu	209,922									
146841	Chant du loup (Le)	BAUDRY Antonin	fiction	18,756,318									
148395	Choc du futur (Le)	COLLIN Marc	fiction	326,400									
143956	Coby	SONDEREGGER Christian	docu	160,377									
146676	Commando Breitner (Le)	RAOUF DAFRI Abdel	fiction	4,992,796									
149013	Comme un seul homme	BELLION Eric	docu	340,471									
148643	Comment j'ai rencontré ma mère	PETIT Guillaume	docu	276,557									
146899	Curiosa	JEUNET Lou	fiction	3,034,499									
147347	Dans la gueule du requin	HAMON Emmanuel	fiction	3,246,352									
149335	Déguns (Les)	DROUX Cyrille / ZIDI JUNIOR Claude	fiction	3,250,237									
148537	Demons in paradise	RATNAM Jude	docu	330,475									
148850	Dernière vie de Simon (La)	KARMANN Léo	fiction	2,423,797									
137594	Deux	MENEGHETTI Filippo	fiction	2,656,100									
148094	Drapeaux de papier (Les)	AMBROSIONI Nathan	fiction	935,305									
147739	Edmond	MICHALIK Alexis	fiction	10,942,249									
146243	Enfant roi (L')	DE BARY Antoine	fiction	2,599,748									
134843	Enkas (L')	MARX Sarah	fiction	1,241,239									
148230	Equilibristes (Les)	MICHEL Perrine	docu	392,401									
147464	Etoiles restantes (Les)	PAILLARD Loïc	fiction	153,725									
145765	Femme-enfant	HAMZAWI Amro	fiction	1,218,499									
148356	France	SIMON LUANGKHOT Kiyé	docu	418,650									
124092	Frères d'arme	LABROSSE Sylvain	fiction	785,759									
147624	Fugue	BENKI Artemio	docu	585,737									
149254	Héros ne meurent jamais (Les)	RAPIN Aude Léa	fiction	999,905									
146376	Impulso	BELMONTE Emilio	docu	344,878									
148486	J'ai perdu mon corps	CLAPIN Jérémy	anim	4,746,187									
148283	J'aime mon patron	GRAVELLE Brice	docu	72,483									
149320	Je te promets d'être sage	LE PAGE Ronan	fiction	2,648,080									
139084	Joueurs	MONGE Marie	fiction	3,415,547									
141483	Jumbo	WITTOCK Zoé	fiction	2,921,217									
149305	Laurence	PFEIFFER Raphael	docu	366,070									
142951	Les petits flocons (ex Syndrome du moniteur de ski (Le))	DE MEAUX Joséphine	fiction	3,553,000									
147476	M.I.L.F. (Mother I'd like to fuck)	LAFFONT Axelle	fiction	4,401,992									
148279	Maguy Marin l'urgence d'agir	MAMBOUCH David	docu	328,799									
147590	Mais vous êtes fous	DIWAN Audrey	fiction	3,610,032									
127958	Mémoire du sang (La)	PETITJEAN Frédéric	fiction	2,295,420									
135063	Merveilles à Montfermeil	BALIBAR Jeanne	fiction	1,824,689									
147874	Mignonnes	DOUCOURE Maïmouna	fiction	3,431,873									
148473	Monsieur	DELAHOUSSE Laurent	docu	517,034									
148102	Mr Gay Syria	TOPRAK Ayse	docu	317,342									
148874	Music stax Academy	SOBELMAN Hugo	docu	141,481									
148253	Nekfeu - the documentary	BOULANOUAR Syrine	docu	1,047,000									
147553	Nuit je mens (La)	BATUT Stéphane	fiction	2,066,947									
146861	Oiseau de paradis (L')	AIVANAA MANATE Paul	fiction	1,184,009									
148385	On a 20 ans pour changer le monde	MEDIGUE Hélène	docu	255,817									
147059	Out	PARROT Denis	docu	200,392									
148585	Papicha	MEDDOUR Mounia	fiction	1,299,678									
148013	Particules (Les)	HARRISON Blaise	fiction	2,360,606									
146289	Perdrix	LE DUC Erwan	fiction	2,500,000									
149485	Poivre et sel	BRACQ Fabrice	fiction	5,926,014									
148205	Premier de la classe	BEN LAHCENE Stéphane	fiction	5,982,772									
148019	Prison (La)	ODIOT Alice	docu	482,637									
133608	Prochaine fois, le feu (La)	DIOP Mati	fiction	2,170,739									
148468	Quand tu danses	CHOLLAT Ladislas	fiction	5,668,235									
148660	Red snake	FOUREST Caroline	fiction	5,187,010									
146126	Retour à Bollene	HAMICH Saïd	fiction	337,222									
148158	Roxane (ex Tourne et roule ma poule)	AUFFRET Mélanie	fiction	4,334,159									
144770	Samsam	DE KERMEL Tanguy	anim	8,055,773									
149961	Sol	MARQUES NAKACHE Jézabel	fiction	4,577,231									
112669	Sur le plancher des vaches	TEMPO Fabrice	fiction	176,014									
142253	Sympathie pour le diable	DEFONTENAY Guillaume	fiction	3,054,011									
145916	Territoria	MARTIROSYAN Nora	fiction	1,220,425									
145971	The sonata	DESMOND Andrew	fiction	1,675,257									
147198	Tous les dieux du ciel	CLAUDIN Alexandre	fiction	656,510									
149768	Toute ressemblance	DENISOT Michel	fiction	7,962,648									
148902	Un divan à Tunis	LABIDI Manele	fiction	1,992,317									
149112	Un vrai bonhomme	PARENT Benjamin	fiction	3,011,497									
131668	Vers la bataille	VEMHES-LERMUSIAUX Aurélien	fiction	1,730,494									
148140	Versus	VALLA François	fiction	425,363									
149418	Vetos (Les)	MANOUKIAN Julie	fiction	6,462,774									
143097	Vœux (Les)	SUCO Sarah	fiction	3,543,663									
148165	Walter	SOUDJIAN Varante	fiction	3,986,402									
147612	We blew it	THORET Jean-Baptiste	docu	838,842									
﻿
144511	#Eurotrip	ALESSANDRIN Carmen	fiction	1,416,794										
138358	100 kg d'étoiles 	CHAMBON Marie-Sophie	fiction	2,253,994										
146240	A 2 heures de Paris	VERRIER Virginie	fiction	410,029										
146636	Affamés (Les)	FREDEVAL Lea	fiction	4,720,126										
146149	Ami-ami	SAINT MACARY Victor	fiction	2,903,872										
145009	Baby Phone	CASAS Olivier	fiction	3,958,490										
144547	Barman du transatlantique (Le)	LEKUS Roy	docu	288,638										
146552	Bergère	DETRIE Delphine	docu	97,521										
142871	Bêtes blondes	MATRAY Maxime / WALTHER Alexia	fiction	697,907										
143263	Bonnes mères	HERZI Hafsia	fiction	1,712,636										
141407	Break it all !	FOUCHARD Marc	fiction	5,004,789										
135774	Ce qu'il nous reste de la révolution	DAVIS Judith	fiction	468,706										
143852	Chatouilles (Les)	BESCOND Andrea / METAYER Eric	fiction	3,420,882										
145642	Christ(off)	DUDAN Pierre	fiction	7,177,846										
146932	Conseil de famille	DIANE David / SPILLEMAECKER Morgan	fiction	3,076,460										
136626	Danse, l'Afrique danse	BRESARD Thomas / SEARLL Don	docu	832,995										
139719	Dents, pipi, au lit (Les)	GILLIBERT Emmanuel	fiction	3,907,414										
146083	Des bobines et des hommes	POUCH Charlotte	docu	213,740										
147329	Deux fils	MOATI Felix	fiction	4,996,371										
146056	Doudou (Le)	MECHELEN Philippe / HERVE Julien	fiction	6,802,986										
145640	Du soleil dans mes yeux	GIRAUD Nicolas	fiction	804,052										
145525	Echappée (L')	PARDO Mathias	fiction	2,165,643										
144330	En attendant les hirondelles	MOUSSAOUI Karim	fiction	1,546,487										
144347	Fils de Garches	GENDARME Remi	docu	607,250										
147094	Finale (La) 	SYKES Robin	fiction	4,446,028										
146623	Full frontal	VIDAL-NAQUET Camille	fiction	1,202,915										
140670	Girls with balls	AFONSO Olivier	fiction	2,476,377										
147039	Grande-Synthe	CAMURAT JAUD Beatrice	docu	305,720										
142052	Gueule d'ange	FILHO Vanessa	fiction	4,449,451										
146489	Homme qui penche (L')	DURY Christophe / BRINCARD Marie-Violaine	docu	444,575										
118285	Il se passe quelque chose	ALIX Anne	fiction	466,484										
144215	Intime conviction	RAIMBAULT Antoine	fiction	3,496,601										
145918	Jessica forever	POGGI Caroline / VINEL Jonathan	fiction	2,836,108										
144143	Jeune fille sans mains (La)	LAUDENBACH Sebastien	anim	449,211										
142766	Kiss and cry	MAHIEU Chloe / PINELL Lila	fiction	362,553										
143423	La surface de réparation	REGIN Christophe	fiction	2,518,199										
145249	Leïla	AYADI Naidra	fiction	3,863,045										
147175	Les Municipaux, ces héros	CARRIERE Eric / GINIBRE Francis	fiction	6,626,320										
120118	Love Addict	BELLOCQ Franck	fiction	9,105,598										
145890	Lumière !	FREMEAUX Thierry	docu	243,120										
142582	Madame B, histoire d'une nord-coréenne	YUN Jero	docu	190,935										
128766	Maman est morte	LE MASNE Christophe	fiction	1,028,057										
145742	Manoir (Le)	CELERIER Anthony	fiction	3,662,923										
143686	Marche ou crève	BONHOMME Margaux	fiction	1,513,385										
147077	Maria by Callas	VOLF Tom	docu	1,013,627										
146282	Meltem	DOGANIS Basile	fiction	1,211,127										
143843	Même pas froid	OTZENBERGER Elise	fiction	1,208,847										
144981	Mes frères	GUERRY Bertrand	fiction	203,000										
145501	Moissonneurs (Les)	KALLOS Etienne	fiction	1,110,529										
147019	Mon brillantissime divorce	LAROQUE Michele	fiction	5,963,775										
146665	Mon tissu préféré	JIJI Gaya	fiction	1,164,341										
147107	Mustang	DE CLERMONT-TONNERRE Laure	fiction	5,902,570										
143216	Ordre des médecins (L')	ROUX David	fiction	2,798,664										
139561	Pearl	AMIEL Elsa	fiction	2,449,757										
142463	Petit proxénète (Le)	MARLIN Jean-Bernard	fiction	2,175,823										
139156	Poulain (Le)	SAPIN Mathieu	fiction	4,153,045										
147187	Premières vacances	CASSIR Patrick	fiction	5,011,192										
139787	Reptiles (Les)	LAGUNA Romain	fiction	1,205,598										
146263	Revenge	FARGEAT Coralie	fiction	2,845,056										
134568	Roulez jeunesse	GUETTA Julien	fiction	2,502,900										
134949	Sans adieu	AGOU Christophe	docu	308,462										
142360	Scelsi le premier mouvement de l'immobile	D'AYALA VALVA Sebastiano	docu	699,470										
147704	Sofia	BENM'BAREK Meryem	fiction	1,143,111										
139218	Sun	DESOINDRE Jonathan	fiction	2,117,140										
144294	Tout là-haut	HAZANAVICIUS Serge	fiction	10,424,395										
146375	Tout le monde debout	DUBOSC Franck	fiction	10,023,312										
121662	Traversée (La)	MIAILHE Florence	anim	3,062,852										
145370	Une histoire de l'art	BERNARD Lucas	fiction	2,958,391										
142572	Une jeunesse sauvage	CARPENTIER Frederic	fiction	2,064,634										
131928	Vierges	BEN RAFAEL Keren	fiction	886,369										
147177	Vieux fourneaux (Les)	DUTHURON Christophe	fiction	5,874,561										
145283	Voyage d'Ailo (Le)	MAIDATCHEVSKY Guillaume	docu	2,829,918										
﻿
144246	16 levers de soleil	LE GOFF Pierre-Emmanuel / HANSEN Jurgen	docu	637,263										
145530	A la rencontre de mon père	DIAGO Alassane	docu	313,814										
145597	A perdre haleine	DAARWIN Didier D.	fiction	213,574										
138578	Ady Gasy	LOVA Nantenaina	docu	155,834										
144388	Amour qu'il nous faut (L')	MARCHAK Nathalie	fiction	2,956,230										
122247	Après la guerre	ZAMBRANO Annarita	fiction	1,670,700										
144142	As de la jungle (Les) - le film	ALAUX David	anim	5,317,606										
130691	Ascension (L')	BERNARD Ludovic	fiction	5,591,255										
145101	Ava	MYSIUS Lea	fiction	2,804,206										
143001	Banc d'attente	GASMELBARI Suhaib	docu	362,810										
144447	Bienvenue au Gondwana	MUSTAPHA Mohamed	fiction	3,918,569										
144496	Blockbuster	HYGRECK July	fiction	741,560										
143057	Bloody Milk	CHARUEL Hubert	fiction	3,242,089										
129307	Carnivores (Les)	RENIER Yannick / RENIER Jeremie	fiction	3,993,109										
129408	Chouquette	GODEAU Patrick	fiction	5,780,446										
144558	Clichy kids	FROMENTAL Antoine	docu	226,063										
141784	Comme des lions	DAVISSE Francoise	docu	236,218										
143037	Comme ils respirent	PATRONIK Claire	docu	69,528										
126717	Comment j'ai rencontré mon père	MOTTE Maxime	fiction	4,357,596										
145290	Cornélius, le meunier hurlant	LE QUELLEC Yann	anim	4,701,761										
131357	Corporate	SILHOL Nicolas	fiction	2,344,094										
129423	Croc Blanc	ESPIGARES Alexandre	anim	11,280,790										
143979	Dans les pas de Trisha Brown	REBOIS Marie-Helene	docu	265,346										
144358	Dérive d'un été	BRAGARD Magali / ENJOLRAS Severine	docu	182,503										
144839	Diane a les épaules	GORGEART Fabien	fiction	2,140,358										
143858	Divan du monde (Le)	DE PAUW Swen	docu	290,360										
142191	Django Melodies	COMAR Etienne	fiction	8,804,249										
128133	Drôles de petites bêtes	KRINGS Antoon / BOURON Arnaud	anim	8,550,794										
144280	Exotica, Erotica, Etc.	KRANIOTI Evangelia	docu	93,953										
144176	Femme de mon oncle grec (La)	DUMAS Sandrine	docu	220,850										
145352	Fête est finie (La)	GAREL WEISS Marie	fiction	1,215,637										
138213	Filles de Reims (Les)	HALLARD Julien	fiction	4,015,773										
143600	Filles du feu	BRETON Stephane	docu	184,852										
136557	Forêt des Quinconces (La)	LEPRINCE-RINGUET Gregoire	fiction	377,501										
137456	Funan	DO Denis	anim	5,055,789										
141003	Garçon manqué	MADANI Nawell / COLBEAU-JUSTIN Ludovic	fiction	3,824,573										
124935	Grand froid	PAUTONNIER Gerard	fiction	3,994,823										
142293	Gueule du loup (La)	SEGUR Jerome	docu	316,052										
141019	H4-93	AYACHE-VIDAL Olivier	fiction	3,304,587										
143583	Jeune femme	SERAILLE Leonore	fiction	992,318										
144409	Jusqu'à la garde	LEGRAND Xavier	fiction	3,137,718										
143038	Karim	UZAN Dan	fiction	289,933										
145156	Kinoa	MARTIN Jean-Loup	anim	190,557										
144573	Ladies	DAVAL Anne-Gaelle	fiction	5,791,143										
143113	Links of life	ROUX Marie-Helene	fiction	504,000										
143935	Loue moi	ASSOUS Coline / SCWARTZ Virginie	fiction	3,105,395										
145351	Luna	DIRINGER Elsa	fiction	2,101,555										
140221	Mariage (blanc) pour tous	BOUDALI Tarek	fiction	5,234,970										
118185	Mécanique de l'ombre (La)	KRUITHOF Thomas	fiction	5,148,833										
139095	Mélodie (La)	HAMI Rachid	fiction	6,113,553										
143153	Menina	PINHEIRO Cristina	fiction	1,219,564										
143100	Merci patron !	RUFFIN François	docu	168,133										
143851	Monsieur et Madame Adelman	BEDOS Nicolas	fiction	5,983,685										
142598	Moutonnière (La)	DJAMA Sofia	fiction	1,152,380										
144040	Paris la blanche	TERKI Lidia	fiction	1,548,834										
142733	Passade	APRIKIAN Gorune	fiction	653,461										
143519	Patients	MARSAUD Fabien / IDIR Mehdi	fiction	3,986,928										
143272	Pauline s'arrache	BRISAVOINE Emilie	docu	241,815										
140845	Petit Locataire (Le)	LOISEAU Nadege	fiction	3,999,989										
130138	Philosophes (Les)	AMESLAND Guilhem	fiction	744,488										
144970	Pour le réconfort	MACAIGNE Vincent	fiction	402,091										
143403	Prince de Nothingwood (Le)	KRONLUND Sonia	docu	689,294										
140615	Rire de ma mère (Le)	SAVIGNAC Colombe / RALITE Pascal	fiction	2,771,299										
144881	Sales gosses	QUIRING Frederic	fiction	7,359,778										
142915	Sel	HESPEL Olivier	docu	192,812										
142717	Semeur (Le)	FRANSSEN Marine	fiction	2,684,416										
144138	Si tu voyais son cœur	CHEMLA Joan	fiction	3,077,593										
140078	Sociologue et l'ourson (La)	CHAILLOU Etienne / THERY Mathias	docu	282,258										
142369	Soif de vivre (La)	RIBIS Frederique	docu	66,007										
143654	Soleil battant	LAPERROUSAZ Laura / LAPERROUSAZ Clara	fiction	991,108										
141779	Sparring	JOUY Samuel	fiction	2,989,926										
141858	Tazzeka	GAUD Jean-Paul	fiction	818,223										
144721	Tour (La)	GRORUD Mats	anim	2,135,880										
145520	Un jour ça ira	ZAMBEAUX Stanislas	docu	572,797										
145274	Vaurien	SENOUSSI Mehdi	fiction	472,463										
144567	Vent du nord	MATTAR Walid	fiction	1,781,024										
143984	Versets de l'oubli (Les)	KHATAMI Alireza	fiction	823,473										
141080	Vie de château (La)	IDO Cedric / BARRY Modi	fiction	1,004,228										
143739	Willy 1 er	GAUTIER Marielle / BOUKHERMA Ludovic / BOUKHERA Zoran / THOMAS Hugo P.	fiction	676,734										
133977	Zombillenium	DE PINS Arthur / DUCORD Alexis	anim	13,394,317										
﻿
127675	A mon âge je me cache encore pour fumer	OBERMEYER Rayhana	fiction	911,331										
126103	A quatre mains	IZRAYLIT Eugene	fiction	1,180,280										
142363	Amis publics n°1	PLUVIEUX Edouard	fiction	6,094,574										
142769	Apnée	MEURISSE Jean-Christophe	fiction	817,924										
142018	Athènes, les éclats	DANIS Antoine	docu	177,455										
142152	Bricks	RAVELLI Quentin	docu	345,279										
138326	Cessez-le-feu	COURCOL Emmanuel	fiction	7,784,584										
140199	Ciel rouge	LORELLE Olivier	fiction	1,152,752										
140053	Cité muette (La)	VAN TASSEL Sabrina	docu	87,408										
138656	Compte tes blessures	SIMON Morgan	fiction	1,913,297										
137616	Correspondant (Le)	BEN SOUSSAN Jean-Michel	fiction	3,996,801										
143008	Crash test Aglaé	GRAVEL Eric	fiction	2,302,682										
139592	Cruel	CHERRIERE Eric	fiction	321,340										
142843	Danseuse (La)	DI GIUSTO Stephanie	fiction	7,888,600										
141008	De sas en sas	BRAKNI Rachida	fiction	1,134,500										
140564	Désemparés (Les)	KOWALSKI Julia	fiction	957,481										
141540	Dogs	MIRICA Bogdan	fiction	853,974										
141793	D'une pierre deux coups	DELIBA Fejria	fiction	1,219,623										
142242	En attache	THEROND Emilie	docu	634,351										
140943	Ennemi invisible (L')	LITTELL Jonathan	docu	1,268,779										
142305	Et les mistrals gagnants…	JULLIAND Anne-Dauphine	docu	675,961										
142047	Femmes en cuisine(s)	FREDIANI Verane	docu	198,353										
135814	Five	GOTESMAN Igor	fiction	5,740,850										
138315	Fleur de tonnerre	PILLONCA-KERVERN Stephanie	fiction	2,118,048										
142896	Folle Histoire de Max et Léon (La)	BARRE Jonathan	fiction	11,523,484										
125836	Gorge cœur ventre	ALPI Maud	fiction	1,653,426										
140754	Grand Jeu (Le)	PARISER Nicolas	fiction	2,030,069										
134214	Grave	DUCORNAU Julie	fiction	3,484,004										
141648	I paisani	MASSART Guillaume	docu	329,473										
142783	Indomptée (L')	DERUAS Caroline	fiction	1,644,103										
136967	Irréprochable	MARNIER Sebastien	fiction	2,160,150										
125660	Jeunesse	SAMANI Julien	fiction	1,757,333										
139108	Joséphine est enceinte	BERRY Marilou	fiction	10,798,539										
143074	Jours de France	REYBAUD Jerome	fiction	1,100,121										
139038	Ladji nye	COULIBALY Daouda	fiction	1,636,823										
139639	Loup-garou	LEVY Stephane	fiction	113,006										
121994	M	FORESTIER Sara	fiction	5,419,182										
138322	M et le 3ème secret	BARNERIAS Pierre	docu	705,638										
136640	Mauvais œil	TEYSSIER Laurent	fiction	1,852,527										
134960	Mercenaire	WOLFF Sarah	fiction	1,986,107										
139661	New Territories	DESCHAMPS Fabianny	docu	51,693										
140672	Œil du cyclone (L')	TRAORE Sekou	fiction	795,184										
142092	Papesse Jeanne (La)	BRESCHAND Jean	fiction	894,330										
139867	Parole de kamikaze	SAWADA Masa	docu	104,899										
141570	Règle du jeu (La)	CARMINATI Ambroise	fiction	136,499										
141646	Rosalie Blum	RAPPENEAU Julien	fiction	5,143,660										
130224	Sahara	CORE Pierre	anim	12,230,027										
141565	Secret des banquises (Le)	MADINIER Marie	fiction	4,865,655										
140535	Secret d'hiver	HARTER Vincent	fiction	1,163,015										
138478	Spartacus & Cassandra	NUGUET Ioanis	docu	311,693										
139820	The Man who Loved Women	WORONIECKI Hubert	docu	480,740										
141098	Un jeune poète	MANIVEL Damien	fiction	76,025										
123255	Un jour mon prince	COSTE Flavia	fiction	2,285,774										
138469	Vendeur	DESCLOUS Sylvain	fiction	3,477,142										
138078	Venise sous la neige	HERSCHEL Elliott	fiction	1,853,887										
139142	Vicky	IMBERT Denis	fiction	3,990,597										
139914	Vie des gens (La)	DUCRAY Olivier	docu	93,336										
141669	Vie pure (La)	BANSTER Jeremy	fiction	988,064										
140703	Vienne avant la nuit	BOBER Robert	docu	700,387										
142952	Voyageur (Le)	GHANDOUR Hadi	fiction	997,155										
140685	West coast	WEILL Benjamin	fiction	3,558,336										
141174	Where is Rocky II ?	BISMUTH Pierre	docu	862,170										
129846	Adama	ROUBY Simon	anim	3,700,091										
134198	Adama	VADAPIED Mathieu	fiction	3,082,572										
137867	Amours et métamorphoses	YARIV Yanira	docu	188,532										
125938	Anna	TOULEMONDE VIDAL Jacques	fiction	999,222										
131891	Arrêtez-moi là	BANNIER Gilles	fiction	2,870,411										
133846	Bang gang	HUSSON Eva	fiction	2,353,686										
130090	Bêtises (Les)	PHILIPPON Rose / PHILIPPON Alice	fiction	2,456,980										
140223	Canicule	NASHAWATI Joyce A.	fiction	1,215,985										
129395	Chaises musicales (Les)	BELHOMME Marie	fiction	2,801,897										
140098	Cow-boys (Les)	BIDEGAIN Thomas	fiction	7,989,318										
139537	Dealer	HERBULOT Jean-Luc	fiction	175,933										
140762	Deux Amis (Les)	GARREL Louis	fiction	2,787,393										
133057	Diamant noir	HARARI Arthur	fiction	3,658,303										
136814	Dieu protège ma fille	BOUZID Leyla	fiction	780,907										
131211	Edmond, un portrait de baudoin	CARTON Laetitia	docu	262,859										
136514	Elan (L')	LABROUE Etienne	fiction	519,729										
131304	Eva et Léon	CHERPITEL Emilie	fiction	1,597,648										
128706	Fille du patron (La)	LOUSTAU Olivier	fiction	2,983,786										
128206	Flux	BENTOUMI Farid	fiction	3,092,850										
132948	Front du Wakhan (Le)	COGITORE Clement	fiction	2,453,870										
137555	House of time	HELPERT Jonathan	fiction	1,103,173										
139794	Hypnodream	BOUGEROL Sophie	fiction	850,024										
139642	Il nous reste la nuit	MARANDIN Naël	fiction	1,685,679										
137970	J'ai dégagé Ben Ali	BEN SLIMAN Ramzi	fiction	3,664,067										
122121	J'demande pas la lune, juste quelques étoiles	COUDRAY Robert	fiction	61,488										
135325	Je suis à vous tout de suite	KASMI Baya	fiction	3,941,931										
139628	Je suis un soldat	LARIVIERE Laurent	fiction	3,359,418										
129577	Ladygrey	CHOQUART Alain	fiction	3,247,500										
140830	Lamb	ZELEKE Yared	fiction	1,341,211										
137765	Ma sacrée jeunesse	BLACKMAN Carly	fiction	228,566										
138585	Macadam baby	BOSSARD Patrick	fiction	551,721										
140051	Machin/machine	CORNILLAC Clovis	fiction	3,860,649										
139495	Monde de Fred (Le)	MULLER Valerie	fiction	142,983										
126465	Moonwalk	BARDOU-JACQUET Antoine	fiction	9,900,000										
140545	Mustang	GAMZE ERGUVEN Deniz	fiction	1,297,390										
139529	Nous trois ou rien	TABIB-GHAFARI Kheiron Manoocher	fiction	7,723,954										
139448	Nouveau (Le)	ROSENBERG Rudi	fiction	3,655,359										
139535	Nouvelles Aventures d'Aladin (Les)	BENZAQUEN Arthur	fiction	15,404,015										
127032	Papa ou maman d'abord ?	BOURBOULON Martin	fiction	12,841,140										
133147	Papa was not a Rolling Stone	OHAYON Sylvie	fiction	6,201,538										
136235	Par accident	FONTAINE Camille	fiction	3,066,471										
132956	Paris Willoughby	DELAIRE Arthur / REYNAUD Quentin	fiction	3,998,000										
136242	Rencontres	ZEFF Alexandre / DUBREUIL Maroussia	docu	89,439										
138510	Resistance de l'air (La)	GRIVOIS Fred	fiction	5,544,050										
137599	Rois du monde (Les)	LAFFARGUE Laurent	fiction	1,210,985										
138440	Sangre de mi sangre	REICHENBACH Jeremie	docu	280,892										
132076	Si par hasard	LIOUD Christophe	fiction	629,005										
136956	Sous les jupes des filles	DANA Audrey	fiction	6,808,477										
133291	Steak (r)évolution	RIBIERE Franck	docu	175,556										
138041	Swim little fish swim	AMAR Ruben / BESSIS Lola	fiction	282,723										
138043	Talent de mes amis (Le)	LUTZ Alex	fiction	5,189,369										
139410	The Red Turtle	DUDOK DE WIT Michael	anim	10,378,702										
127017	Tout en haut du monde	CHAYE Remi	anim	6,125,009										
140523	Un vrai faussaire	LEON Jean-Luc	docu	385,316										
122892	Une jeunesse allemande	PERIOT Jean-Gabriel	docu	872,133										
138776	Verdon secret	BERTRAND Francois	docu	1,641,181										
138822	Voyage en Chine	MAYER Zoltan	fiction	2,410,571										
139376	Voyoucratie	GARCON Fabrice / OSSONA Kevin	fiction	537,409										
139641	Zouzou	LENOIR Blandine	fiction	317,927										
139065	Zugzwang	NAMER Elodie	fiction	2,986,321										
133976	98	ZIMMER Helene	fiction	1,866,637										
116552	419	BARTONIO Eric	fiction	2,264,532										
130614	A love you	LEFEVRE Paul	fiction	1,597,884										
136132	Ablations	DE PARSCAU Arnold	fiction	2,227,408										
134323	Ainsi squattent-ils	MAFFRE Marie	docu	181,066										
136396	Amour sur place ou à emporter	CHAHBI Amelle	fiction	4,903,595										
132289	Angélique	AMACHOUKELI-BARSACQ Marie / BURGER Claire / THEIS Samuel	fiction	1,787,145										
126680	Après la bataille	LECLERE Simon	fiction	1,497,430										
137830	Atlit	AMITAY Shirel	fiction	2,113,331										
134826	Bébé tigre	VIAL Cyprien	fiction	1,914,859										
127486	Bogota	LOLLI Franco	fiction	732,463										
134916	Bonheur (Le)	GRANGE Fabrice	fiction	239,976										
130174	Bonheur… terre promise (Le)	HASSE Laurent	docu	221,953										
136809	Caricaturistes - fantassins de la démocratie	VALLOATTO Stephanie	docu	1,138,212										
127966	Casa nostra	NICHOLOVITCH Nathan	fiction	195,456										
132906	Chromobiles	LACHAUD Valerie Elodie	docu	217,177										
137589	Combattants (Les)	CAILLEY Thomas	fiction	2,390,550										
137803	Coming in	SAGLIO Noemie / GOVARE Maxime	fiction	5,437,252										
135428	Comment les chèvres de ma mère sont devenues européennes	AUDIER Sophie	docu	302,087										
137662	Delivrez-moi du mal	PIERRE-VICTOR Gary	fiction	2,879,793										
126511	Des étoiles	GAYE Diana	fiction	1,476,277										
136166	Dimanche 4 janvier	MARTHOURET Francois	fiction	2,490,203										
138154	Discount	PETIT Louis-Julien	fiction	3,320,483										
138166	Du sable à la poussière	PARIS Arnaud	docu	1,111,409										
136643	Elle l'aime, elle l'adore	HERRY Jeanne	fiction	6,489,790										
136744	Esto es lo que hay	RINALDI Lea	docu	521,429										
128285	Etre	VINET Jean-Pascal	fiction	1,711,120										
138133	Fidelio, l'odyssée d'Alice	BORLETEAU Lucie	fiction	2,012,430										
136708	Francis (Les)	BEGOTTI Fabrice	fiction	7,547,509										
131372	Generation Mitterrand	CASTRO Nicolas	fiction	4,250,205										
134229	Gouffres (Les)	BARRAUD Antoine	fiction	451,002										
131148	Grande Séduction (La)	MEUNIER Stephane	fiction	7,172,497										
131107	Guy Georges, la traque	TELLIER Frederic	fiction	5,292,679										
135518	Jamais le premier soir	DRIGEARD Melissa	fiction	6,530,772										
136135	Jamel	MARLIN Jean-Bernard	docu	180,664										
129189	Libre, seul et assoupi	GUEDJ Benjamin	fiction	5,023,622										
133227	Lili Rose	BALLOUARD Bruno	fiction	566,218										
133363	Lou !	NEEL Julien	fiction	8,119,334										
134228	Mademoiselle C	CONSTANT Fabien	docu	607,543										
134287	Mante religieuse (La)	AUSSANT Nathalie	fiction	2,089,000										
136917	Max et Lenny	NICOLAS Fred	fiction	1,297,378										
